Ciudad,Seguridad,Costo del destino,Accesibilidad,Clima,Comida,Cultura/arte,Actividades_deportivas/aventura,Playa,Montana/naturaleza,Fiesta/vida nocturna
Florence,4,3,4,4,5,5,3,2,3,4
Monterrey,3,4,3,4,5,4,3,2,3,4
Tenerife,5,3,3,4,5,4,4,5,4,4
Edimburgo,5,2,4,3,5,5,3,2,4,4
Tulum,3,4,2,4,5,4,4,5,3,5
Agadir,3,4,3,4,4,4,4,5,3,3
Genoa,4,3,3,4,4,5,3,3,3,3
Lusaka,2,4,2,3,3,3,3,2,4,2
Las Vegas,2,2,4,4,5,4,5,2,2,5
Georgetown,3,4,2,4,4,3,3,3,3,3
Kansas City,4,3,4,4,5,4,4,2,3,4
Abu Dhabi,5,2,5,4,5,4,4,5,2,3
Bangkok,4,4,4,4,5,5,5,4,3,5
Santiago,4,4,3,4,5,4,4,2,3,4
Lijiang,4,4,3,4,4,4,4,2,5,2
Madrid,4,3,5,4,5,5,4,3,3,5
Toronto,5,2,5,3,5,5,4,2,4,4
Tangier,3,4,3,4,4,4,3,4,3,3
Vancouver,5,2,5,3,5,5,5,2,5,3
Hong Kong,4,3,5,4,5,5,4,3,3,4
Ibiza,3,2,3,4,4,4,3,5,2,5
Johor Bahru,4,4,3,4,4,4,4,4,3,3
Quito,4,4,3,4,5,4,4,2,4,3
Siem Reap,3,5,2,4,4,5,4,3,4,3
Moscu,3,3,3,2,4,5,3,2,4,4
Cancun,3,3,3,4,5,4,5,5,3,5
Amsterdam,4,2,5,3,5,5,4,3,3,5
Damasco,1,5,1,4,3,3,2,2,2,1
Santiago de Chile,4,4,3,4,5,4,4,2,4,4
Riga,5,4,3,3,4,4,3,2,3,3
Münich,5,2,5,3,5,5,4,2,3,3
Nice,4,2,4,5,5,5,3,5,3,5
Limerick,5,3,4,3,4,4,3,2,3,3
New Orleans,3,3,3,4,5,5,4,2,3,5
Suzhou,4,4,3,4,4,4,3,2,4,2
Buenos Aires,3,4,3,4,5,5,4,2,3,5
Djerba,3,4,2,4,4,4,3,5,3,2
Nanjing,4,4,4,3,4,4,3,2,3,3
Paphos,5,3,3,4,4,4,3,5,3,3
Aman,4,4,3,4,4,4,4,3,3,3
Londres,4,1,5,3,5,5,4,2,3,5
Peking,3,3,4,3,5,5,3,2,3,4
Copenhague,5,1,5,3,4,5,3,2,3,3
Vientiane,3,5,2,4,4,4,4,3,4,2
Mykonos,3,2,3,4,4,4,3,5,2,5
Cuzco,3,5,2,3,4,5,4,2,5,3
Porto,5,3,4,4,5,5,4,4,4,5
Fes,3,4,3,4,4,4,3,4,3,3
Vilna,5,4,3,3,4,4,3,2,3,3
Ulaanbaatar,3,4,2,2,3,4,4,2,5,2
Aberdeen,5,3,4,3,4,4,3,2,3,2
Dublin,5,2,5,3,5,5,4,2,3,4
Cartagena,4,4,3,4,5,4,4,5,3,4
Shangai,4,3,5,3,5,5,4,3,3,4
Cartago,4,4,2,4,4,4,3,2,4,2
Riyadh,2,3,3,4,4,3,2,1,2,1
Palermo,4,3,3,4,5,5,3,3,3,3
Girona,5,3,3,4,4,4,3,3,3,3
Memphis,3,3,3,4,4,4,4,2,3,5
San Sebastián,5,3,4,4,5,5,3,3,3,4
Taichung,4,4,4,4,4,4,4,3,3,3
Mar del Plata,3,4,2,4,4,3,4,5,3,4
Trieste,5,3,3,4,4,4,3,3,3,3
Tel Aviv,4,2,4,4,5,5,4,5,3,5
Oaxaca,4,5,2,4,5,5,3,2,4,3
Berlin,5,2,5,3,5,5,4,2,3,4
Medellin,3,4,3,4,5,4,4,2,3,4
Phuket,3,4,3,4,5,4,5,5,3,5
Toulouse,5,2,4,4,5,5,3,2,3,3
Cusco,3,5,2,3,4,5,4,2,5,3
Sidney,5,2,5,4,5,5,5,4,5,5
Bogota,3,4,3,4,5,4,4,2,3,4
Stockholm,5,2,5,3,4,5,3,2,3,3
Sapporo,5,3,4,2,4,4,5,2,5,2
Vilnius,5,4,3,3,4,4,3,2,3,3
Dubrovnik,4,3,3,4,4,4,4,5,4,4
Estambul,3,4,3,4,5,5,4,4,3,4
Saigon,4,4,3,4,5,4,5,3,4,4
Frankfurt,5,2,5,3,5,5,4,2,3,3
Napoles,3,3,3,4,5,5,3,3,3,4
El Cairo,2,4,2,4,5,5,3,3,3,4
Singapur,5,1,5,4,5,5,4,5,2,5
Viena,5,2,5,3,5,5,4,2,3,3
Tiflis,4,5,3,4,4,5,4,2,4,3
Punta Cana,3,3,2,4,4,4,4,5,3,4
Zadar,5,4,3,4,4,4,4,5,4,3
Marrakech,3,4,3,4,5,5,4,4,4,3
Ubud,4,5,3,4,5,5,5,5,4,3
Lima,3,4,3,4,5,4,4,3,4,4
Colombo,3,4,3,4,4,4,4,3,4,3
Edinburgh,5,2,4,3,5,5,3,2,4,4
Montevideo,4,4,3,4,5,4,4,3,3,3
Cork,5,3,4,3,4,4,3,2,3,3
Yangon,2,4,2,4,4,4,3,3,3,2
Krakow,5,4,4,4,4,5,3,2,3,4
Chengdu,4,4,4,3,4,4,4,2,3,3
Macao,3,3,4,4,5,4,4,4,3,4
Funchal,5,3,3,4,4,4,4,5,4,3
Los Angeles,2,2,4,4,5,5,5,4,3,5
Hvar,4,3,2,4,4,4,4,5,3,4
Paris,4,2,5,3,5,5,4,2,3,5
